Trait,Formula,Model,AIC,Singular,R2_marginal,R2_conditional,P_Value
LMA,trait ~ sqrt(nitrogen),Random Intercept,209.68779677212788,FALSE,0.18407289056195422,0.31242051736812765,2.23467284279245e-6
LMA,trait ~ sqrt(nitrogen),Random Slope,211.326549264069,FALSE,0.18540132692823055,0.29906794324954955,0.0019098417448433272
LMA,trait ~ sqrt(nitrogen),Random Intercept + Slope,213.61884750403192,TRUE,0.18493372683994239,0.31325906977949053,8.04426766964707e-6
LDMC,trait ~ sqrt(nitrogen),Random Intercept,846.5686718999125,FALSE,0.06639947892697709,0.7322168046199916,4.965620330127995e-6
LDMC,trait ~ sqrt(nitrogen),Random Slope,857.9402191677033,FALSE,0.016779451568050677,0.6631784024668732,0.5099754298976313
LDMC,trait ~ sqrt(nitrogen),Random Intercept + Slope,850.4736166420643,TRUE,0.061612298797927366,0.7293658728674369,7.555078775127492e-4
CHL,trait ~ sqrt(nitrogen),Random Intercept,675.4969906493318,FALSE,0.33973338669321673,0.4280971801716782,3.333037357473105e-11
CHL,trait ~ sqrt(nitrogen),Random Slope,672.9719077883624,FALSE,0.3044462251277424,0.41440806514356365,2.9842232707691217e-4
CHL,trait ~ sqrt(nitrogen),Random Intercept + Slope,674.8578935275686,FALSE,0.28781688637594355,0.42636036172487735,0.062233220280782646
area_cm2,trait ~ sqrt(nitrogen),Random Intercept,1302.487603048707,FALSE,0.29586188464436397,0.6933684642919291,1.5822797514809163e-15
area_cm2,trait ~ sqrt(nitrogen),Random Slope,1288.2521553421136,FALSE,0.21346279649609484,0.7002973193722233,0.044293892948036005
area_cm2,trait ~ sqrt(nitrogen),Random Intercept + Slope,1292.0259142295752,TRUE,0.20163056167401855,0.6966047959722511,0.09078205038106633
GRT,trait ~ sqrt(nitrogen),Random Intercept,-484.61437663937426,FALSE,0.14796937329023538,0.5074056720459625,6.581207950388501e-7
GRT,trait ~ sqrt(nitrogen),Random Slope,-478.4774220563693,FALSE,0.21920045848648478,0.5053424292031118,0.01504234570731917
GRT,trait ~ sqrt(nitrogen),Random Intercept + Slope,-480.6148341504934,TRUE,0.14736686106142435,0.5072168956497389,7.696197838392203e-7
LMA,sqrt(trait) ~ sqrt(nitrogen),Random Intercept,-68.2256796287177,FALSE,0.1687943604577619,0.3112836366243363,5.430916327377835e-6
LMA,sqrt(trait) ~ sqrt(nitrogen),Random Slope,-66.22106964915135,FALSE,0.16919360413922677,0.29499311627790553,0.0034993332597589213
LMA,sqrt(trait) ~ sqrt(nitrogen),Random Intercept + Slope,-64.28079482031002,TRUE,0.16935751816534936,0.3117812607193471,1.28806370888576e-5
LDMC,sqrt(trait) ~ sqrt(nitrogen),Random Intercept,241.5242950501119,FALSE,0.06807791956440506,0.7227591357314798,5.458475339704822e-6
LDMC,sqrt(trait) ~ sqrt(nitrogen),Random Slope,251.15426747531964,FALSE,0.017728174369090365,0.6583303213494666,0.49755225337637826
LDMC,sqrt(trait) ~ sqrt(nitrogen),Random Intercept + Slope,245.26014309321533,TRUE,0.05993272878248155,0.7182284640814657,0.00740773134072166
CHL,sqrt(trait) ~ sqrt(nitrogen),Random Intercept,202.68948805263483,FALSE,0.3532823428248826,0.41953231992262563,2.1167442578506193e-11
CHL,sqrt(trait) ~ sqrt(nitrogen),Random Slope,200.92491398243055,FALSE,0.32190614388716376,0.40491912679706205,6.670563334787049e-5
CHL,sqrt(trait) ~ sqrt(nitrogen),Random Intercept + Slope,201.19702151163852,FALSE,0.31072383771795314,0.4361411556827507,0.057978564359292835
area_cm2,sqrt(trait) ~ sqrt(nitrogen),Random Intercept,563.0242646082619,FALSE,0.3792021959813481,0.7109799189066579,6.83892508401457e-19
area_cm2,sqrt(trait) ~ sqrt(nitrogen),Random Slope,548.1933905916969,FALSE,0.3024018746344701,0.7186211170969375,0.020489016361668375
area_cm2,sqrt(trait) ~ sqrt(nitrogen),Random Intercept + Slope,552.1933905918866,TRUE,0.30240047599684194,0.7186225036534308,0.020791254490964185
GRT,sqrt(trait) ~ sqrt(nitrogen),Random Intercept,-310.0541108196097,FALSE,0.28078235602121915,0.572225727087316,5.5066237015164934e-12
GRT,sqrt(trait) ~ sqrt(nitrogen),Random Slope,-299.0823250350086,FALSE,0.3496306149347306,0.5538792010750634,0.0022412587212624633
GRT,sqrt(trait) ~ sqrt(nitrogen),Random Intercept + Slope,-307.38551090010696,TRUE,0.24612850007442175,0.565592981953293,0.0058129456543651115
LMA,1/trait ~ 1/nitrogen,Random Intercept,-352.980091237958,FALSE,0.16484008654608842,0.3416909509863317,4.919868965914118e-6
LMA,1/trait ~ 1/nitrogen,Random Slope,-334.4286350669744,TRUE,0.14602919486471533,0.14602919486471533,1.0255059112517232e-4
LMA,1/trait ~ 1/nitrogen,Random Intercept + Slope,-330.19875011840156,TRUE,0.003166535995147819,0.998362730882875,0.9252767772545232
LDMC,1/trait ~ 1/nitrogen,Random Intercept,-1020.995628506656,FALSE,0.09496473329217076,0.7005847545686613,4.08968828369765e-7
LDMC,1/trait ~ 1/nitrogen,Random Slope,-920.6374235508506,FALSE,0.3483153164401854,0.9999999999998777,0.992039866353214
LDMC,1/trait ~ 1/nitrogen,Random Intercept + Slope,-1001.2130304961513,TRUE,0.32038198669026535,0.9993034855080782,0.27843408786286916
CHL,1/trait ~ 1/nitrogen,Random Intercept,-564.1343027463379,FALSE,0.33506684847340645,0.35459643118156603,3.205137330141564e-10
CHL,1/trait ~ 1/nitrogen,Random Slope,-587.4146784458064,FALSE,1.5568334853358428e-4,0.9998907651235277,0.9855753795772506
CHL,1/trait ~ 1/nitrogen,Random Intercept + Slope,-599.7761358131868,TRUE,0.4492010650790375,0.8613088937015407,0.6139833563771377
area_cm2,1/trait ~ 1/nitrogen,Random Intercept,-946.0886111185766,FALSE,0.858257595878865,0.8844883984691672,2.1125385742906026e-45
area_cm2,1/trait ~ 1/nitrogen,Random Slope,-936.3168326036358,TRUE,0.8574613706547535,0.8574613706547535,1.2392979434971895e-42
area_cm2,1/trait ~ 1/nitrogen,Random Intercept + Slope,-939.1122400242974,TRUE,0.768710334623338,0.933347070569366,0.4134856536397252
GRT,1/trait ~ 1/nitrogen,Random Intercept,1236.8283870827845,FALSE,0.6866337039356764,0.693711104109724,3.896069468999993e-26
GRT,1/trait ~ 1/nitrogen,Random Slope,1219.9941891114556,FALSE,4.5960270442108606e-4,0.9998204851748156,0.9752138874973364
GRT,1/trait ~ 1/nitrogen,Random Intercept + Slope,1208.6958994485003,TRUE,0.46660190274628427,0.8170690985336655,0.6296164469157651
LMA,1/sqrt(trait) ~ 1/sqrt(nitrogen),Random Intercept,-353.14694101202366,FALSE,0.18543206428664477,0.3552373917781057,1.1796239904371195e-6
LMA,1/sqrt(trait) ~ 1/sqrt(nitrogen),Random Slope,-335.06083013171735,TRUE,0.16687592512349628,0.16687592512349628,2.943902513419122e-5
LMA,1/sqrt(trait) ~ 1/sqrt(nitrogen),Random Intercept + Slope,-351.06112499522936,TRUE,0.11837678167493218,0.5738947386712527,0.0793922376724323
LDMC,1/sqrt(trait) ~ 1/sqrt(nitrogen),Random Intercept,-696.0925679399567,FALSE,0.09337687168913943,0.7229264340040458,1.9892912113551776e-7
LDMC,1/sqrt(trait) ~ 1/sqrt(nitrogen),Random Slope,-653.2091037426121,FALSE,0.31965764994287593,0.9999995441003992,0.31385414264239087
LDMC,1/sqrt(trait) ~ 1/sqrt(nitrogen),Random Intercept + Slope,-697.178525943324,TRUE,5.29428260128583e-4,0.7037333100320559,0.9395354973148587
CHL,1/sqrt(trait) ~ 1/sqrt(nitrogen),Random Intercept,-424.4042909886671,FALSE,0.3561536211885473,0.3895141137056797,4.7308300568123035e-11
CHL,1/sqrt(trait) ~ 1/sqrt(nitrogen),Random Slope,-447.9111313724624,FALSE,0.43718100849080904,0.6053784567998619,0.14966763288481588
CHL,1/sqrt(trait) ~ 1/sqrt(nitrogen),Random Intercept + Slope,-445.48900104621697,FALSE,0.5262099685948103,0.824666752502144,0.2541403185399805
area_cm2,1/sqrt(trait) ~ 1/sqrt(nitrogen),Random Intercept,-620.0262788548526,FALSE,0.7951814588757576,0.8999246766175578,1.8220853354628257e-46
area_cm2,1/sqrt(trait) ~ 1/sqrt(nitrogen),Random Slope,-590.4094442390999,FALSE,0.3199127582109314,0.9999992085249166,0.3170578999512409
area_cm2,1/sqrt(trait) ~ 1/sqrt(nitrogen),Random Intercept + Slope,-616.0216377338872,TRUE,0.802300252492221,0.8999436604343767,6.02499575812791e-8
GRT,1/sqrt(trait) ~ 1/sqrt(nitrogen),Random Intercept,497.701535853372,FALSE,0.7352350912087159,0.7713337212841331,3.03518064321833e-31
GRT,1/sqrt(trait) ~ 1/sqrt(nitrogen),Random Slope,482.8706930447184,FALSE,0.6971741882801271,0.7840470115737864,0.05556918351546093
GRT,1/sqrt(trait) ~ 1/sqrt(nitrogen),Random Intercept + Slope,480.6475211563098,TRUE,0.31374794904273134,0.8765656448612309,0.16765181852165675
LMA,trait ~ nitrogen^2,Random Intercept,224.62587067910442,FALSE,0.06630128469080374,0.19259922534226995,0.006115446746734747
