Trait,Formula,Model,AIC,Singular,R2_marginal,R2_conditional,P_Value
CHL,sqrt(trait) ~ sqrt(nitrogen),Random Slope,200.9205217567776,FALSE,0.3219243198568766,0.4049430818833304,6.679488311035161e-5
CHL,sqrt(trait) ~ sqrt(nitrogen),Random Intercept + Slope,201.1914731312653,FALSE,0.31075431734451775,0.4361818255549107,0.05797289059082183
area_cm2,sqrt(trait) ~ sqrt(nitrogen),Random Intercept,563.0093258049258,FALSE,0.3792425483085032,0.7110314914956818,6.787126038401783e-19
area_cm2,sqrt(trait) ~ sqrt(nitrogen),Random Slope,548.1773131319898,FALSE,0.3024223825735945,0.7186631595981363,0.02049721294279933
area_cm2,sqrt(trait) ~ sqrt(nitrogen),Random Intercept + Slope,551.3233077697538,TRUE,0.2776712582805389,0.7120114647828489,0.0709111515290485
GRT,sqrt(trait) ~ sqrt(nitrogen),Random Intercept,-310.05872170982474,FALSE,0.2808064697603461,0.5722423911153354,5.493868652403254e-12
GRT,sqrt(trait) ~ sqrt(nitrogen),Random Slope,-299.08681790353415,FALSE,0.34966918540587255,0.5539078665465471,0.002242103724950749
GRT,sqrt(trait) ~ sqrt(nitrogen),Random Intercept + Slope,-307.3894566966013,TRUE,0.24615515832012946,0.5656070290532464,0.005808068351781487
LMA,1/trait ~ nitrogen,Random Intercept,-341.7121646951399,FALSE,0.08010569833679874,0.24902994010811175,0.0019252377843699796
LMA,1/trait ~ nitrogen,Random Slope,-335.53692257692467,FALSE,0.08327523131508247,0.1985150780454013,0.06723152830760835
LMA,1/trait ~ nitrogen,Random Intercept + Slope,-331.5369217291607,TRUE,0.08328094374847826,0.1984263056512811,0.09301707655242654
LDMC,1/trait ~ nitrogen,Random Intercept,-1004.4291731726122,FALSE,0.0381029056939954,0.6201366536588823,0.002605814605280545
LDMC,1/trait ~ nitrogen,Random Slope,-987.6322835458418,FALSE,0.005563095023826658,0.5042614150668074,0.7494308478211498
LDMC,1/trait ~ nitrogen,Random Intercept + Slope,-1000.8247013847463,TRUE,0.032416084951305865,0.6183003221714579,0.035357293583332214
CHL,1/trait ~ nitrogen,Random Intercept,-540.6435205451091,TRUE,0.1440704094398902,0.1440704094398902,1.1518118891679487e-4
CHL,1/trait ~ nitrogen,Random Slope,-540.6435205451091,TRUE,0.1440704094398902,0.1440704094398902,1.1518118891679487e-4
CHL,1/trait ~ nitrogen,Random Intercept + Slope,-539.0889460596552,TRUE,0.13992184763533438,0.18484685863040387,0.08675408840906942
area_cm2,1/trait ~ nitrogen,Random Intercept,-772.9884921737962,TRUE,0.22725906106377855,0.22725906106377855,6.854892371763988e-7
area_cm2,1/trait ~ nitrogen,Random Slope,-772.9884921737962,TRUE,0.22725906106377855,0.22725906106377855,6.854892371763988e-7
area_cm2,1/trait ~ nitrogen,Random Intercept + Slope,-769.5057141829668,TRUE,0.1998313185601945,0.226900487911003,0.0751475775538776
GRT,1/trait ~ nitrogen,Random Intercept,1331.1347065124007,FALSE,0.17076936519113706,0.1916329346493342,1.949844368245101e-5
GRT,1/trait ~ nitrogen,Random Slope,1331.8406755543401,TRUE,0.1753400960993583,0.1753400960993583,1.7618253208894237e-5
GRT,1/trait ~ nitrogen,Random Intercept + Slope,1326.4867759800065,TRUE,0.12160888024171221,0.24542212436243044,0.16440542857135698
LMA,1/sqrt(trait) ~ nitrogen,Random Intercept,-340.0252579093431,FALSE,0.08787287241044531,0.24983790099017356,0.0011854604481791205
LMA,1/sqrt(trait) ~ nitrogen,Random Slope,-333.98886825274474,FALSE,0.09156520473824986,0.19980540366889415,0.05309073105178113
LMA,1/sqrt(trait) ~ nitrogen,Random Intercept + Slope,-329.9888681768499,TRUE,0.09156741807668568,0.19977330937940402,0.1249488184009991
LDMC,1/sqrt(trait) ~ nitrogen,Random Intercept,-678.9870298315129,FALSE,0.03897864748960863,0.6466198786779388,0.0016334981894177158
LDMC,1/sqrt(trait) ~ nitrogen,Random Slope,-659.5319182397778,FALSE,0.005606658736085181,0.5228948590076694,0.7520853323599566
LDMC,1/sqrt(trait) ~ nitrogen,Random Intercept + Slope,-675.2721310064113,TRUE,0.03428985343205798,0.6441452476028495,0.020126755046711717
CHL,1/sqrt(trait) ~ nitrogen,Random Intercept,-403.4931239767605,TRUE,0.19397504496057125,0.19397504496057125,5.605698643053428e-6
CHL,1/sqrt(trait) ~ nitrogen,Random Slope,-403.5064951249006,FALSE,0.19248775595923429,0.19571760929054777,1.0313258714553006e-4
CHL,1/sqrt(trait) ~ nitrogen,Random Intercept + Slope,-401.65049770109624,TRUE,0.18167170329400018,0.22425221673749524,0.07091515951052872
area_cm2,1/sqrt(trait) ~ nitrogen,Random Intercept,-447.9185047100651,FALSE,0.2658607843759148,0.2869770295667107,4.1349865527391456e-08
area_cm2,1/sqrt(trait) ~ nitrogen,Random Slope,-451.13651986449435,FALSE,0.2407580836019357,0.31013448767939694,0.0027025494640577235
area_cm2,1/sqrt(trait) ~ nitrogen,Random Intercept + Slope,-448.2405814000511,TRUE,0.21638438319153624,0.3027333612878483,0.06982003018424245
GRT,1/sqrt(trait) ~ nitrogen,Random Intercept,606.1350601405089,FALSE,0.2400347896919151,0.30905182608372195,1.0423845939464113e-7
GRT,1/sqrt(trait) ~ nitrogen,Random Slope,611.0130262201089,TRUE,0.25270282880769646,0.25270282880769646,1.3029517005086359e-07
