LDMC_trans,LMA_trans,CHL_trans,grt_trans,Model,AIC,R2,Singular_fit
sqrt,identity,identity,inv,Random Slope + Intercept,1285.7407293352264,0.7232632121220249,TRUE
sqrt,identity,identity,inv_sqrt,Random Intercept,590.0199702507014,0.7413653072865796,FALSE
sqrt,identity,identity,inv_sqrt,Random Slope,574.9064400955803,0.7545292929979347,TRUE
sqrt,identity,identity,inv_sqrt,Random Slope + Intercept,579.5893666461726,0.7888254773347287,TRUE
sqrt,identity,identity,sq,Random Intercept,-864.0232028598753,0.7463730027647683,FALSE
sqrt,identity,identity,sq,Random Slope,-876.749968216859,0.7390432365575661,TRUE
sqrt,identity,identity,sq,Random Slope + Intercept,-894.2055117318639,0.9749075079752698,TRUE
sqrt,identity,identity,cub,Random Intercept,-1285.0860287622156,0.6160584015017162,FALSE
sqrt,identity,identity,cub,Random Slope,-1301.7835442877524,0.6723224823275065,TRUE
sqrt,identity,identity,cub,Random Slope + Intercept,-1324.4070714597065,0.9785152663784663,TRUE
inv,identity,identity,identity,Random Intercept,-463.26826233462265,0.8334993243681249,FALSE
inv,identity,identity,identity,Random Slope,-467.08022499431866,0.7685683283416739,TRUE
inv,identity,identity,identity,Random Slope + Intercept,-472.42565289151105,0.9625576621233152,TRUE
inv,identity,identity,log,Random Intercept,223.5391746524554,0.8139310319313555,FALSE
inv,identity,identity,log,Random Slope,217.55069417962494,0.7604385442509609,TRUE
inv,identity,identity,log,Random Slope + Intercept,224.45419342324175,0.8316033796047005,TRUE
inv,identity,identity,sqrt,Random Intercept,-280.76056005712104,0.8395424787256142,FALSE
inv,identity,identity,sqrt,Random Slope,-284.23995521046436,0.7790871839132029,TRUE
inv,identity,identity,sqrt,Random Slope + Intercept,-281.3236951121908,0.8935030213309849,TRUE
inv,identity,identity,inv,Random Intercept,1278.179783741553,0.5896054797991828,FALSE
inv,identity,identity,inv,Random Slope,1273.0669829152637,0.569575767992761,TRUE
inv,identity,identity,inv,Random Slope + Intercept,1282.9225864480518,0.5408776625120245,TRUE
