LDMC_trans,LMA_trans,CHL_trans,grt_trans,Model,AIC,R2,Singular_fit
sqrt,inv_sqrt,inv_sqrt,cub,Random Intercept,-1302.14732531215,0.6415298790132019,FALSE
log,log,inv_sqrt,cub,Random Intercept,-1301.9863046488872,0.6672525605277755,FALSE
log,inv_sqrt,sqrt,cub,Random Intercept,-1301.7340735242008,0.7110688824556453,FALSE
sqrt,inv,inv,cub,Random Intercept,-1301.7305998679715,0.6358547058088198,FALSE
inv_sqrt,just,inv,cub,Random Intercept,-1301.6678531924713,0.6168944065519052,FALSE
sqrt,inv_sqrt,inv,cub,Random Intercept,-1301.021407636768,0.6218773293334476,FALSE
log,sqrt,inv_sqrt,cub,Random Intercept,-1300.8342686169703,0.6421855202148699,FALSE
log,log,inv,cub,Random Intercept,-1300.7859097034832,0.6446899876360536,FALSE
just,log,log,cub,Random Slope,-1300.5670326609375,0.6483737801373145,FALSE
just,log,log,cub,Random Slope + Intercept,-1300.5670326609375,0.6483737801373145,FALSE
inv_sqrt,just,log,cub,Random Intercept,-1300.4974259859607,0.6728822346367297,FALSE
sqrt,inv,log,cub,Random Intercept,-1300.005081357656,0.6670295503544252,FALSE
inv_sqrt,log,just,cub,Random Intercept,-1299.6726720363636,0.7357981161743514,FALSE
log,sqrt,inv,cub,Random Intercept,-1299.5868662731755,0.6154046028684157,FALSE
just,inv,inv_sqrt,cub,Random Slope,-1299.482126198722,0.6073109667974518,FALSE
just,inv,inv_sqrt,cub,Random Slope + Intercept,-1299.482126198722,0.6073109667974518,FALSE
sqrt,inv_sqrt,log,cub,Random Intercept,-1299.4508276240808,0.6582859991118464,FALSE
inv_sqrt,just,sqrt,cub,Random Intercept,-1299.3776313979586,0.6884917462440399,FALSE
log,log,log,cub,Random Intercept,-1299.3682740588722,0.6861817161904266,FALSE
inv,sq,inv_sqrt,cub,Random Intercept,-1299.3218150630714,0.6062314439725566,FALSE
just,inv_sqrt,inv,cub,Random Slope,-1298.9484192864993,0.6004345729063245,FALSE
just,inv_sqrt,inv,cub,Random Slope + Intercept,-1298.9484192864993,0.6004345729063245,FALSE
sqrt,inv,sqrt,cub,Random Intercept,-1298.6463091425012,0.676389133531091,FALSE
sqrt,log,inv_sqrt,cub,Random Intercept,-1298.5353642026394,0.6228745591232758,FALSE
inv_sqrt,sqrt,just,cub,Random Intercept,-1298.5060495423936,0.7185387785013967,FALSE
inv,inv,sq,cub,Random Intercept,-1298.3030568010772,0.7755804114742446,FALSE
log,sqrt,log,cub,Random Intercept,-1298.2805349426478,0.6645789746169308,FALSE
sqrt,inv_sqrt,sqrt,cub,Random Intercept,-1298.1348013737802,0.6687828296495999,FALSE
log,log,sqrt,cub,Random Intercept,-1298.1128916992718,0.6978065205086345,FALSE
inv,just,just,cub,Random Intercept,-1298.102486810335,0.7205301691949468,FALSE
inv,sq,inv,cub,Random Intercept,-1298.0711469714522,0.5690944281223297,FALSE
sqrt,sqrt,inv_sqrt,cub,Random Intercept,-1297.5579569874685,0.5968760314978228,FALSE
inv,inv_sqrt,sq,cub,Random Intercept,-1297.5330776730855,0.7694713697630106,FALSE
sqrt,log,inv,cub,Random Intercept,-1297.341802957679,0.5995195777669045,FALSE
log,inv,just,cub,Random Intercept,-1297.2594685813137,0.7226416671893676,FALSE
log,sqrt,sqrt,cub,Random Intercept,-1297.0787518976342,0.6782787891708988,FALSE
inv,sq,log,cub,Random Intercept,-1296.9016549555226,0.6382605124109265,FALSE
log,just,inv_sqrt,cub,Random Intercept,-1296.8420466508035,0.6106896992043974,FALSE
just,inv,inv_sqrt,cub,Random Intercept,-1296.6995729536582,0.602445008513755,FALSE
log,inv_sqrt,just,cub,Random Intercept,-1296.6838438243913,0.7160625844980869,FALSE
sqrt,sqrt,inv,cub,Random Intercept,-1296.321884332986,0.5693455351385792,FALSE
just,inv_sqrt,inv_sqrt,cub,Random Intercept,-1296.157280716983,0.5909368576695286,FALSE
inv_sqrt,sq,inv_sqrt,cub,Random Intercept,-1296.1552723536536,0.5762128907607456,FALSE
sqrt,log,log,cub,Random Intercept,-1295.9096292446588,0.6425331112399596,FALSE
inv,sq,sqrt,cub,Random Intercept,-1295.8817098848824,0.6583329326115688,FALSE
