LDMC_trans,LMA_trans,CHL_trans,grt_trans,Model,AIC,BIC,AICc,R2,Singular_fit
inv_sqrt,just,just,just,Random Slope,-459.8091628,-421.1884981,-453.8832368,0.907783733,TRUE
inv_sqrt,just,just,just,Random Slope + Intercept,-459.8091628,-421.1884981,-453.8832368,0.907783733,TRUE
sqrt,inv,inv_sqrt,log,Random Slope,192.6518108,231.2724755,198.5777367,0.931996446,FALSE
inv_sqrt,just,just,log,Random Slope,232.5695274,271.1901921,238.4954534,0.867796308,TRUE
inv_sqrt,just,just,log,Random Slope + Intercept,232.5695274,271.1901921,238.4954534,0.867796308,TRUE
inv_sqrt,just,just,sqrt,Random Intercept,-277.6921498,-262.2438839,-276.7588164,0.847141657,FALSE
inv_sqrt,just,just,sqrt,Random Slope,-271.4388646,-232.8181999,-265.5129386,0.898614586,TRUE
inv_sqrt,just,just,sqrt,Random Slope + Intercept,-271.4388646,-232.8181999,-265.5129386,0.898614586,TRUE
inv_sqrt,just,just,inv,Random Intercept,1281.559946,1297.008212,1282.49328,0.601888278,FALSE
inv_sqrt,just,just,inv,Random Slope,1285.04074,1323.661405,1290.966666,0.578186208,TRUE
inv_sqrt,just,just,inv,Random Slope + Intercept,1285.04074,1323.661405,1290.966666,0.578186208,TRUE
inv_sqrt,just,just,inv_sqrt,Random Intercept,580.1397372,595.588003,581.0730705,0.734937681,FALSE
inv_sqrt,just,just,inv_sqrt,Random Slope,582.1793553,620.80002,588.1052812,0.738556142,TRUE
inv_sqrt,just,just,inv_sqrt,Random Slope + Intercept,582.1793553,620.80002,588.1052812,0.738556142,TRUE
inv_sqrt,just,just,sq,Random Intercept,-874.5652323,-859.1169665,-873.631899,0.780749773,FALSE
inv_sqrt,just,just,sq,Random Slope,-893.247374,-854.6267093,-887.3214481,0.927862705,TRUE
inv_sqrt,just,just,sq,Random Slope + Intercept,-893.247374,-854.6267093,-887.3214481,0.927862705,TRUE
inv_sqrt,just,just,cub,Random Intercept,-1294.451684,-1279.003419,-1293.518351,0.696124469,FALSE
inv_sqrt,just,just,cub,Random Slope,-1329.25191,-1290.631245,-1323.325984,0.935208978,TRUE
inv_sqrt,just,just,cub,Random Slope + Intercept,-1329.25191,-1290.631245,-1323.325984,0.935208978,TRUE
sq,just,just,just,Random Intercept,-429.3762636,-413.9279977,-428.4429303,0.792168377,FALSE
sq,just,just,just,Random Slope,-435.8559045,-397.2352398,-429.9299785,0.870148198,TRUE
sq,just,just,just,Random Slope + Intercept,-435.8559045,-397.2352398,-429.9299785,0.870148198,TRUE
sqrt,inv,inv_sqrt,log,Random Slope + Intercept,192.6518108,231.2724755,198.5777367,0.931996446,FALSE
sq,just,just,log,Random Slope,248.6676211,287.2882858,254.593547,0.921434073,TRUE
sq,just,just,log,Random Slope + Intercept,248.6676211,287.2882858,254.593547,0.921434073,TRUE
sq,just,just,sqrt,Random Intercept,-247.4979555,-232.0496897,-246.5646222,0.8210179,FALSE
sq,just,just,sqrt,Random Slope,-247.9982751,-209.3776104,-242.0723491,0.940703562,FALSE
sq,just,just,sqrt,Random Slope + Intercept,-247.9982751,-209.3776104,-242.0723491,0.940703562,FALSE
sq,just,just,inv,Random Intercept,1310.85772,1326.305986,1311.791053,0.52037247,FALSE
sq,just,just,inv,Random Slope,1302.908043,1341.528708,1308.833969,0.885116852,TRUE
sq,just,just,inv,Random Slope + Intercept,1302.908043,1341.528708,1308.833969,0.885116852,TRUE
sq,just,just,inv_sqrt,Random Intercept,609.6111705,625.0594363,610.5445038,0.694454945,FALSE
sq,just,just,inv_sqrt,Random Slope,595.7586051,634.3792697,601.684531,0.974380497,TRUE
sq,just,just,inv_sqrt,Random Slope + Intercept,595.7586051,634.3792697,601.684531,0.974380497,TRUE
sq,just,just,sq,Random Intercept,-846.4924954,-831.0442296,-845.5591621,0.663948536,FALSE
sq,just,just,sq,Random Slope,-846.7419275,-808.1212628,-840.8160016,0.968951605,TRUE
sq,just,just,sq,Random Slope + Intercept,-846.7419275,-808.1212628,-840.8160016,0.968951605,TRUE
sq,just,just,cub,Random Intercept,-1270.924431,-1255.476165,-1269.991098,0.489055646,FALSE
sq,just,just,cub,Random Slope,-1283.269184,-1244.648519,-1277.343258,0.950061129,TRUE
sq,just,just,cub,Random Slope + Intercept,-1283.269184,-1244.648519,-1277.343258,0.950061129,TRUE
cub,just,just,just,Random Intercept,-417.5089667,-402.0607008,-416.5756333,0.758011372,FALSE
cub,just,just,just,Random Slope,-410.3802381,-371.7595735,-404.4543122,0.961989961,TRUE
cub,just,just,just,Random Slope + Intercept,-410.3802381,-371.7595735,-404.4543122,0.961989961,TRUE
sqrt,inv_sqrt,inv,log,Random Slope,192.9836926,231.6043573,198.9096185,0.93661873,FALSE
cub,just,just,log,Random Slope,267.5200139,306.1406785,273.4459398,0.979642039,TRUE
cub,just,just,log,Random Slope + Intercept,267.5200139,306.1406785,273.4459398,0.979642039,TRUE
cub,just,just,sqrt,Random Intercept,-234.914424,-219.4661581,-233.9810907,0.789761726,FALSE
cub,just,just,sqrt,Random Slope,-237.9451731,-199.3245084,-232.0192472,0.919377052,TRUE
cub,just,just,sqrt,Random Slope + Intercept,-237.9451731,-199.3245084,-232.0192472,0.919377052,TRUE
cub,just,just,inv,Random Intercept,1322.498913,1337.947179,1323.432247,0.462334791,FALSE
