LDMC_trans,LMA_trans,CHL_trans,Model,AIC,R2,Singular_fit
log,sq,log,Random Slope,-459.7121381,0.763787499,TRUE
log,sq,log,Random Slope + Intercept,-468.0476881,0.970245641,FALSE
sqrt,sq,log,Random Intercept,-448.3499686,0.77778517,FALSE
sqrt,sq,log,Random Slope,-457.6776189,0.778961904,TRUE
sqrt,sq,log,Random Slope + Intercept,-465.7373491,0.971649228,TRUE
inv,sq,log,Random Intercept,-461.7785294,0.778748032,FALSE
inv,sq,log,Random Slope,-466.2954866,0.732581499,FALSE
inv,sq,log,Random Slope + Intercept,-473.1741851,0.915327774,TRUE
inv_sqrt,sq,log,Random Intercept,-458.3867581,0.782183527,FALSE
inv_sqrt,sq,log,Random Slope,-464.4054883,0.748041116,FALSE
inv_sqrt,sq,log,Random Slope + Intercept,-471.5088135,0.928152571,TRUE
sq,sq,log,Random Intercept,-429.7983649,0.743366395,FALSE
sq,sq,log,Random Slope,-442.9492093,0.817404428,TRUE
sq,sq,log,Random Slope + Intercept,-450.6590803,0.973320675,TRUE
cub,sq,log,Random Intercept,-418.5379047,0.714259354,FALSE
cub,sq,log,Random Slope,-424.2823502,0.99761294,TRUE
cub,sq,log,Random Slope + Intercept,-426.1274021,0.99533815,TRUE
identity,cub,log,Random Intercept,-434.797543,0.719995353,FALSE
identity,cub,log,Random Slope,-442.4334822,0.68924541,FALSE
identity,cub,log,Random Slope + Intercept,-452.6162786,0.977166385,TRUE
log,cub,log,Random Intercept,-444.7338771,0.732410913,FALSE
log,cub,log,Random Slope,-451.1343988,0.731002411,TRUE
log,cub,log,Random Slope + Intercept,-456.090159,0.919284837,TRUE
sqrt,cub,log,Random Intercept,-441.1833662,0.72776082,FALSE
sqrt,cub,log,Random Slope,-448.9682677,0.747626145,TRUE
sqrt,cub,log,Random Slope + Intercept,-457.7588855,0.959109467,TRUE
inv,cub,log,Random Intercept,-454.3558799,0.732473858,FALSE
inv,cub,log,Random Slope,-458.1677375,0.699461704,TRUE
inv,cub,log,Random Slope + Intercept,-464.1900347,0.90459767,TRUE
inv_sqrt,cub,log,Random Intercept,-450.974798,0.733834168,FALSE
inv_sqrt,cub,log,Random Slope,-456.0300617,0.714647774,TRUE
inv_sqrt,cub,log,Random Slope + Intercept,-461.6092826,0.912504415,TRUE
sq,cub,log,Random Intercept,-423.3346435,0.698379842,FALSE
sq,cub,log,Random Slope,-434.6219458,0.790145584,TRUE
sq,cub,log,Random Slope + Intercept,-436.7134395,0.998812383,TRUE
cub,cub,log,Random Intercept,-412.4809571,0.676000806,FALSE
cub,cub,log,Random Slope,-409.4344357,0.999922268,TRUE
cub,cub,log,Random Slope + Intercept,-417.3467671,0.999487887,TRUE
identity,identity,sqrt,Random Intercept,-448.6364926,0.820810927,FALSE
identity,identity,sqrt,Random Slope,-459.2620025,0.81314392,TRUE
identity,identity,sqrt,Random Slope + Intercept,-465.1652045,0.963994011,TRUE
log,identity,sqrt,Random Intercept,-459.6576813,0.834857631,FALSE
log,identity,sqrt,Random Slope,-466.9661018,0.795130884,TRUE
log,identity,sqrt,Random Slope + Intercept,-472.7529669,0.969755636,TRUE
sqrt,identity,sqrt,Random Intercept,-455.6288938,0.830077478,FALSE
sqrt,identity,sqrt,Random Slope,-464.6455135,0.806508703,TRUE
