"barcodeID","sampleID","species","treatment_mmol","CHL","CAR","ANT","N","PROT","CBC"
27059,"BO_R2_25","B. officinalis",25,51.5232289627859,12.3496902700591,2.87129281773259,1.78143459665367,0.006,0.0100058064917534
27120,"BO_R3_10","B. officinalis",10,49.5258376185983,10.8802546373561,3.13034576853155,1.89691206319786,0.006,0.0131881091902275
27375,"RA_R5_5","H. vulgare",5,34.7116024024918,9.01762469126259,1.17540958986727,1.69165496639925,0.006,0.0110594363684981
27387,"RA_R5_20","H. vulgare",20,56.6738459484343,13.2686244229499,3.87990152447957,1.71610747856483,0.006,0.0156032103273916
27480,"RA_R5_10","H. vulgare",10,52.2313968643114,12.3614949711737,2.69978817240241,1.71760852328717,0.006,0.00874275248163437
27901,"BO_R2_0","B. officinalis",0,7.21755020846423,2.47188737662777,-4.63221143029695e-23,1.82261879185063,0.006,0.0141367721605457
27967,"BO_R4_10","B. officinalis",10,45.3899060801012,11.1061828386019,2.38880254453219,1.78407176451898,0.006,0.011229533006669
28155,"BO_R3_20","B. officinalis",20,51.2114902187015,11.0250215494982,2.84127387027633,1.83645767706626,0.006,0.012292659784195
28163,"BO_R4_35","B. officinalis",35,61.5036898630722,12.0964380127544,3.74760373329804,1.97582555972127,0.006,0.0104564762542112
28395,"BO_R5_30","B. officinalis",30,46.6604734592364,10.9272018086389,2.5679573363025,1.92499112530191,0.006,0.0116771983673848
28679,"RA_R5_30","H. vulgare",30,47.4117731221641,12.0069286316726,2.58749057005633,1.49734664927551,0.006,0.0118994035347493
28762,"RA_R4_15","H. vulgare",15,37.1994849647633,10.0429003238573,2.15149423333116,1.55260422856737,0.006,0.0114017696502858
28832,"BO_R1_10","B. officinalis",10,38.9958766048997,9.84000416383657,1.39834760047262,1.80573648327758,0.006,0.0108934374438663
28882,"BO_R4_20","B. officinalis",20,58.6141706971727,13.1456377505779,3.84017234271318,1.78234870767493,0.006,0.0132146256831004
29332,"BO_R5_20","B. officinalis",20,57.7946409262329,12.8065450578271,4.15869163454851,2.15473587751107,0.006,0.0124159814626956
29706,"BO_R1_25","B. officinalis",25,50.1590067353493,11.2502246314469,2.67868296165163,1.83950920153513,0.006,0.0125302323110748
29801,"BO_R2_5","B. officinalis",5,35.2505907898229,9.12891464401784,1.36597520876983,1.85993985237295,0.006,0.0145223324898198
30529,"RA_R5_35","H. vulgare",35,44.1963502741669,11.9265012271038,2.18754631706777,1.50850551538341,0.006,0.0101477891145449
30771,"RA_R3_30","H. vulgare",30,50.5483318509003,13.2978874167824,3.3438405753835,1.43776635928319,0.006,0.00930260696202303
30786,"HO_R1_20","R. sativus",20,40.5814085201219,9.15467804962264,0.667117418504208,1.50937150835246,0.006,0.00485814922969383
31552,"HO_R1_10","R. sativus",10,27.2398298144881,6.39880933292892,0.328564674814161,1.06889092721399,0.00473121221026593,9.99999999999997e-07
31841,"HO_R1_10","R. sativus",10,42.7233906994277,10.1795134351372,0.372924571703811,1.3165951099425,0.006,0.00291087773796306
32137,"RA_R1_35","H. vulgare",35,50.7606037861389,13.3373736530643,3.98971114534013,1.6558683528572,0.006,0.0128750752642692
32196,"RA_R1_20","H. vulgare",20,48.7524365265018,12.6010698539533,3.30779738365178,1.80193211323726,0.006,0.0154528078248289
32374,"RA_R5_0","H. vulgare",0,26.7260368911792,7.64858163429069,0.801531815454977,1.84773257513075,0.006,0.010545996078384
32908,"RA_R1_30","H. vulgare",30,36.2625244664407,8.68401686790908,2.02031534816954,1.3430118561901,0.006,0.00403898793221093
33847,"HO_R2_35","R. sativus",35,23.7321654729866,5.71010985074723,0.335579110165588,0.974996457627878,0.00463538011863521,1.00000000000008e-06
33900,"RA_R2_15","H. vulgare",15,30.8305712694198,8.39713765925565,2.2016757309599,1.68043424641792,0.006,0.0151384776696805
34121,"RA_R4_0","H. vulgare",0,35.6944730611882,9.88426719200892,1.76950452004093,1.80994695830813,0.006,0.0135234447334397
34122,"HO_R4_15","R. sativus",15,43.6528775144106,10.6173009526104,0.383380984259252,1.28853253846134,0.006,0.00408775314051027
34521,"HO_R1_35","R. sativus",35,36.8602240538689,8.77868538958906,0.310668363400909,1.23137764221566,0.006,0.00134565265916801
34680,"HO_R3_15","R. sativus",15,37.06606906497,8.81527423891186,0.33375802168563,1.26280156781802,0.006,0.0038143631188301
35106,"HO_R2_15","R. sativus",15,41.7400091232136,9.72049791630424,0.415322814739432,1.33099428894819,0.006,0.00372438866273881
35208,"HO_R3_35","R. sativus",35,31.803231750353,7.34960400433543,0.301359219581091,1.07020236245732,0.00550263112435419,1.00000000000002e-06
35222,"RA_R2_30","H. vulgare",30,48.9513389825856,12.4582340414983,3.27599109761435,1.71789277679741,0.006,0.0132379482187518
35469,"HO_R3_10","R. sativus",10,32.1996019160108,7.48648969243213,0.422690136799771,1.28004568844129,0.006,0.00486268218340339
