barcodeID,sampleID,treatment_mmol,species,dry_whole_g,dry_leaf_g,area_cm2,LDMC,LMA,EWT,gsw,Fs,Fm_prime,Phi_PS2,ETR,Qamb,vpdl
28832,BO_R1_10,10,B. officinalis,2.979,0.306,644.528,115.87,4.747660303353772,36.228061465134175,0.017398,92.932106,438.570862,0.788102,5.566792,18,3.051768
28882,BO_R4_20,20,B. officinalis,2.472,0.291,646.475,98.88,4.5013341583201205,41.02246799953594,0.036084,93.029381,450.47879,0.793488,6.659907,21,3.13814
29332,BO_R5_20,20,B. officinalis,3.032,0.278,563.598,127,4.9325937991263284,33.90714658320292,0.02859,113.839027,448.586212,0.746227,5.378314,18,3.152988
29706,BO_R1_25,25,B. officinalis,2.972,0.441,991.0640000000001,103.21,4.4497630829088735,38.66551504241905,0.028351,91.289879,446.884644,0.795719,5.891478,19,3.048077
29801,BO_R2_5,5,B. officinalis,1.236,0.329,569.628,128.32,5.775699228268273,39.236133055257106,0.126376,94.826103,431.880707,0.780434,5.359844,17,3.12805
30529,RA_R5_35,35,H. vulgare,0.871,0.334,1014.184,102.86,3.2932880029659315,28.722598660598074,0.025782,91.633919,455.053558,0.79863,9.682664,30,3.326767
30771,RA_R3_30,30,H. vulgare,1.496,0.296,777.371,110,3.807705715803651,30.808970234289678,0.02684,155.740143,465.135101,0.665172,12.160155,46,3.203909
30786,HO_R1_20,20,R. sativus,4.669,0.158,353.382,195.54,4.4710822848928355,18.39369294417939,-2.18e-4,108.08194,440.09436,0.754412,12.552193,42,3.081588
31552,HO_R1_10,10,R. sativus,2.976,0.091,237.26500000000001,166.06,3.835373948960023,19.261163677744296,-0.008048,108.325836,434.485321,0.75068,11.366217,38,3.408881
31841,HO_R1_10,10,R. sativus,3.764,0.174,385.91200000000003,185.7,4.508799933663632,19.771346835548,-0.003853,107.217552,430.091492,0.75071,13.749725,46,3.04816
32137,RA_R1_35,35,H. vulgare,1.154,0.389,1081.857,99.39,3.5956692982529117,32.58286446360287,0.049028,118.646263,452.361359,0.737718,15.26257,52,3.170353
32196,RA_R1_20,20,H. vulgare,1.634,0.485,1161.425,98.16,4.175904599952644,38.366661644100994,0.026256,103.776459,444.590454,0.76658,18.55134,61,3.138838
32374,RA_R5_0,0,H. vulgare,0.022,0.025,70.687,118.48,3.536718208440025,26.313183470793785,0.033055,118.140579,401.128296,0.705479,8.604136,30,3.26056
32908,RA_R1_30,30,H. vulgare,1.365,0.404,845.518,101.69,4.778136006566389,42.21081041444416,0.048235,95.680832,433.972107,0.779523,12.224232,39,3.233427
33847,HO_R2_35,35,R. sativus,1.6,0.09,294,138.67,3.061224489795918,19.013605442176875,0.010454,141.209,463.019012,0.695025,16.387129,59,2.999709
33900,RA_R2_15,15,H. vulgare,1.612,0.324,809.206,101,4.003924834961679,35.639874148239144,0.222121,122.792961,399.090881,0.692318,15.252701,55,2.94783
34121,RA_R4_0,0,H. vulgare,0.044,0.042,68.173,168.67,6.160796796385666,30.36392706790078,0.206148,90.320351,420.085785,0.784995,11.941568,38,2.933818
34122,HO_R4_15,15,R. sativus,4.616,0.179,400.029,190.02,4.474675586020013,19.0736171627557,-0.009439,106.099251,447.352753,0.762829,9.698566,32,3.134763
34521,HO_R1_35,35,R. sativus,3.698,0.111,316.80100000000004,153.74,3.503776818886304,19.28655528233812,0.009427,107.449295,426.516663,0.748077,11.716195,39,2.650299
34680,HO_R3_15,15,R. sativus,3.062,0.149,376.446,163.92,3.958071011512939,20.18881858221365,0.023453,107.613083,446.320648,0.758888,9.389349,31,3.389184
35106,HO_R2_15,15,R. sativus,4.108,0.164,368.211,195.94,4.453967969452298,18.277563679520707,0.001363,117.231133,456.410767,0.743146,10.724385,36,3.046879
35208,HO_R3_35,35,R. sativus,1.678,0.09,251.14999999999998,170.13,3.5835158271949035,17.479593868206255,0.003606,109.891891,420.620789,0.738739,15.192058,51,2.770621
35222,RA_R2_30,30,H. vulgare,1.623,0.24,804.845,91.29,2.981940622107362,29.682733942560372,0.007556,119.540337,448.019379,0.73318,11.365583,39,3.243767
35469,HO_R3_10,10,R. sativus,2.614,0.104,286.83,146.89,3.625841090541436,21.057769410452185,-0.002278,105.172638,416.074646,0.747227,15.674072,52,3.153294
35764,HO_R2_25,25,R. sativus,3.759,0.145,369.60900000000004,173.24,3.9230646439886465,18.722487818207885,0.002848,105.824234,417.736877,0.746673,14.004771,47,3.034603
35802,RA_R3_15,15,H. vulgare,0.829,0.281,750.372,107.29,3.7448092412829905,31.15787902533677,0.15111,122.610924,439.599762,0.721085,18.449345,64,2.999124
36038,HO_R1_30,30,R. sativus,3.156,0.156,373.204,184.18,4.180019506757698,18.515342815189545,0.012217,112.907051,467.303741,0.758386,15.832957,52,2.955184
36145,RA_R4_20,20,H. vulgare,0.944,0.354,1061.821,107.5,3.33389526106566,27.678864893423658,0.030705,90.911148,432.903534,0.789997,15.268959,48,2.949088
36432,HO_R2_10,10,R. sativus,3.097,0.103,261.967,173.11,3.9317929357514494,18.780991498929257,0.029677,114.798904,450.723053,0.745301,11.786868,40,3.095613
36605,RA_R4_30,30,H. vulgare,0.57,0.226,704.682,103.57,3.207120374864123,27.757201120505417,0.008281,127.29657,455.347534,0.720441,12.64025,44,3.187397
36731,HO_R2_30,30,R. sativus,1.818,0.085,261.151,133.86,3.2548219229487922,21.06061244260983,0.002821,122.919556,444.301117,0.723342,12.944168,45,2.855028
36912,HO_R3_20,20,R. sativus,3.623,0.096,295.75199999999995,127.49,3.2459628337255544,22.21455814330926,1.82e-4,102.18644,415.228119,0.753903,12.634412,42,3.104165
37191,RA_R3_0,0,H. vulgare,0.049,0.024,33.687,161.07,7.1244100097960645,37.1063021343545,0.07844,84.918022,383.0495,0.778311,8.725111,28,3.325706
37381,RA_R3_35,35,H. vulgare,1.391,0.278,802.366,105.7,3.4647529930231347,29.313305897807236,-0.001352,152.178879,462.428558,0.670914,8.433371,31,3.139275
38025,HO_R3_30,30,R. sativus,1.756,0.112,345.16999999999996,156.42,3.2447779355100392,17.498623866500566,0.015013,117.686035,460.951569,0.744689,16.392921,55,2.903199
38114,HO_R2_20,20,R. sativus,1.728,0.085,284.606,129.38,2.986584963071756,20.09795998678876,0.043173,126.246933,449.597961,0.7192,14.517357,50,3.286093
38118,RA_R3_25,25,H. vulgare,1.658,0.358,1051.837,82.02,3.4035691841986924,38.095256204145706,0.027601,101.742264,382.325287,0.733886,13.128473,45,2.956943
38386,HO_R1_25,25,R. sativus,3.452,0.133,340.735,165.84,3.9033266321334765,19.63402644283681,0.057032,128.512497,468.302979,0.725578,16.383541,56,2.990592
38450,HO_R1_5,5,R. sativus,2.676,0.101,255.231,170.61,3.9571995564802083,19.237475071601803,0.037092,118.650909,455.814972,0.739695,9.598534,32,3.244403
38947,HO_R2_5,5,R. sativus,0.684,0.078,200.264,187.5,3.894858786401949,16.877721407741777,0.009235,107.876297,408.587708,0.735978,11.864768,40,3.254242
39034,RA_R2_35,35,H. vulgare,1.345,0.307,670.783,126.23,4.576740913231253,31.679395572040434,0.035714,95.509171,461.624268,0.793102,12.624464,40,3.327272
39146,RA_R2_0,0,H. vulgare,0.059,0.028,44.926,166.67,6.232471174820816,31.162355874104083,0.061989,103.66774,430.868622,0.759398,12.508097,41,3.112829
39291,RA_R4_35,35,H. vulgare,1.784,0.333,924.365,99.43,3.602473049066116,32.627803951902116,0.016346,121.093155,420.502777,0.712028,11.081839,39,3.196747
39493,RA_R1_15,15,H. vulgare,1.245,0.319,929.304,101.33,3.432676497679984,30.442137341494284,0.300367,92.402458,411.041382,0.775199,19.038624,61,3.04684
39992,HO_R3_5,5,R. sativus,0.664,0.075,192.183,185.19,3.9025304007118216,17.171133763132016,0.001385,107.882378,404.581177,0.733348,13.450224,46,3.100084
